timestamp_unix,datetime_utc,decreases_50_january_2025_no
1731024002,2024-11-08T00:00:02+00:00,0.88
1731110403,2024-11-09T00:00:03+00:00,0.935
1731196802,2024-11-10T00:00:02+00:00,0.945
1731283202,2024-11-11T00:00:02+00:00,0.945
1731369602,2024-11-12T00:00:02+00:00,0.945
1731456003,2024-11-13T00:00:03+00:00,0.945
1731542403,2024-11-14T00:00:03+00:00,0.955
1731628803,2024-11-15T00:00:03+00:00,0.945
1731715203,2024-11-16T00:00:03+00:00,0.945
1731801603,2024-11-17T00:00:03+00:00,0.945
1731888003,2024-11-18T00:00:03+00:00,0.945
1731974403,2024-11-19T00:00:03+00:00,0.935
1732060803,2024-11-20T00:00:03+00:00,0.945
1732147203,2024-11-21T00:00:03+00:00,0.945
1732233603,2024-11-22T00:00:03+00:00,0.945
1732320004,2024-11-23T00:00:04+00:00,0.945
1732406403,2024-11-24T00:00:03+00:00,0.945
1732492803,2024-11-25T00:00:03+00:00,0.9535
1732579204,2024-11-26T00:00:04+00:00,0.953
1732665603,2024-11-27T00:00:03+00:00,0.947
1732752003,2024-11-28T00:00:03+00:00,0.946
1732838404,2024-11-29T00:00:04+00:00,0.946
1732924803,2024-11-30T00:00:03+00:00,0.9495
1733011203,2024-12-01T00:00:03+00:00,0.948
1733097603,2024-12-02T00:00:03+00:00,0.956
1733184003,2024-12-03T00:00:03+00:00,0.956
1733270403,2024-12-04T00:00:03+00:00,0.96
1733356803,2024-12-05T00:00:03+00:00,0.9585
1733443203,2024-12-06T00:00:03+00:00,0.955
1733529603,2024-12-07T00:00:03+00:00,0.952
1733616003,2024-12-08T00:00:03+00:00,0.9525
1733702402,2024-12-09T00:00:02+00:00,0.9525
1733788803,2024-12-10T00:00:03+00:00,0.949
1733875203,2024-12-11T00:00:03+00:00,0.959
1733961603,2024-12-12T00:00:03+00:00,0.9655
1734048003,2024-12-13T00:00:03+00:00,0.9785
1734134403,2024-12-14T00:00:03+00:00,0.9725
1734220803,2024-12-15T00:00:03+00:00,0.976
1734307203,2024-12-16T00:00:03+00:00,0.974
1734393604,2024-12-17T00:00:04+00:00,0.958
1734480003,2024-12-18T00:00:03+00:00,0.9645
1734566403,2024-12-19T00:00:03+00:00,0.981
1734652804,2024-12-20T00:00:04+00:00,0.984
1734739203,2024-12-21T00:00:03+00:00,0.9825
1734825604,2024-12-22T00:00:04+00:00,0.9835
1734912004,2024-12-23T00:00:04+00:00,0.98
1734998403,2024-12-24T00:00:03+00:00,0.978
1735084803,2024-12-25T00:00:03+00:00,0.9805
1735171204,2024-12-26T00:00:04+00:00,0.991
1735257603,2024-12-27T00:00:03+00:00,0.9885
1735344003,2024-12-28T00:00:03+00:00,0.9885
1735430403,2024-12-29T00:00:03+00:00,0.989
1735516803,2024-12-30T00:00:03+00:00,0.99
1735603204,2024-12-31T00:00:04+00:00,0.9915
1735689604,2025-01-01T00:00:04+00:00,0.9935
1735776003,2025-01-02T00:00:03+00:00,0.9965
1735862404,2025-01-03T00:00:04+00:00,0.9965
1735948803,2025-01-04T00:00:03+00:00,0.9955
1736035203,2025-01-05T00:00:03+00:00,0.9955
1736121603,2025-01-06T00:00:03+00:00,0.9945
1736208004,2025-01-07T00:00:04+00:00,0.9945
1736294403,2025-01-08T00:00:03+00:00,0.9945
1736380803,2025-01-09T00:00:03+00:00,0.9945
1736467204,2025-01-10T00:00:04+00:00,0.9945
1736553604,2025-01-11T00:00:04+00:00,0.9965
1736640004,2025-01-12T00:00:04+00:00,0.9975
1736726404,2025-01-13T00:00:04+00:00,0.9985
1736812803,2025-01-14T00:00:03+00:00,0.9985
1736899203,2025-01-15T00:00:03+00:00,0.9975
1736985604,2025-01-16T00:00:04+00:00,0.9985
1737072004,2025-01-17T00:00:04+00:00,0.9975
1737158404,2025-01-18T00:00:04+00:00,0.9985
1737244804,2025-01-19T00:00:04+00:00,0.9985
1737331204,2025-01-20T00:00:04+00:00,0.9975
1737417603,2025-01-21T00:00:03+00:00,0.9975
1737504003,2025-01-22T00:00:03+00:00,0.9975
1737590404,2025-01-23T00:00:04+00:00,0.9995
1737676803,2025-01-24T00:00:03+00:00,0.9985
1737763205,2025-01-25T00:00:05+00:00,0.9985
1737849604,2025-01-26T00:00:04+00:00,0.9985
1737936004,2025-01-27T00:00:04+00:00,0.9985
1738022404,2025-01-28T00:00:04+00:00,0.9985
1738108804,2025-01-29T00:00:04+00:00,0.9985
