timestamp_unix,datetime_utc,increase_max_2_3_april_2025_no
1744329605,2025-04-11T00:00:05+00:00,0.76
1744416006,2025-04-12T00:00:06+00:00,0.655
1744502405,2025-04-13T00:00:05+00:00,0.655
1744588805,2025-04-14T00:00:05+00:00,0.65
1744675205,2025-04-15T00:00:05+00:00,0.51
1744761605,2025-04-16T00:00:05+00:00,0.44
1744848006,2025-04-17T00:00:06+00:00,0.415
1744934404,2025-04-18T00:00:04+00:00,0.5
1745020806,2025-04-19T00:00:06+00:00,0.515
1745107206,2025-04-20T00:00:06+00:00,0.515
1745193606,2025-04-21T00:00:06+00:00,0.565
1745280006,2025-04-22T00:00:06+00:00,0.5
1745366407,2025-04-23T00:00:07+00:00,0.495
1745452806,2025-04-24T00:00:06+00:00,0.495
1745539206,2025-04-25T00:00:06+00:00,0.485
1745625606,2025-04-26T00:00:06+00:00,0.475
1745712005,2025-04-27T00:00:05+00:00,0.535
1745798405,2025-04-28T00:00:05+00:00,0.535
1745884805,2025-04-29T00:00:05+00:00,0.54
1745971206,2025-04-30T00:00:06+00:00,0.535
1746057606,2025-05-01T00:00:06+00:00,0.545
1746144006,2025-05-02T00:00:06+00:00,0.545
1746230406,2025-05-03T00:00:06+00:00,0.56
1746316805,2025-05-04T00:00:05+00:00,0.565
1746403205,2025-05-05T00:00:05+00:00,0.57
1746489606,2025-05-06T00:00:06+00:00,0.625
1746576005,2025-05-07T00:00:05+00:00,0.595
1746662406,2025-05-08T00:00:06+00:00,0.6
1746748807,2025-05-09T00:00:07+00:00,0.54
1746835206,2025-05-10T00:00:06+00:00,0.575
1746921606,2025-05-11T00:00:06+00:00,0.6
1747008006,2025-05-12T00:00:06+00:00,0.545
1747094406,2025-05-13T00:00:06+00:00,0.505
