timestamp_unix,datetime_utc,increase_max_2_2_may_2025_yes
1747180807,2025-05-14T00:00:07+00:00,0.18
1747267207,2025-05-15T00:00:07+00:00,0.105
1747353606,2025-05-16T00:00:06+00:00,0.095
1747440007,2025-05-17T00:00:07+00:00,0.085
1747526406,2025-05-18T00:00:06+00:00,0.075
1747612806,2025-05-19T00:00:06+00:00,0.075
1747699206,2025-05-20T00:00:06+00:00,0.041
1747785606,2025-05-21T00:00:06+00:00,0.0425
1747872007,2025-05-22T00:00:07+00:00,0.0665
1747958407,2025-05-23T00:00:07+00:00,0.055
1748044807,2025-05-24T00:00:07+00:00,0.055
1748131206,2025-05-25T00:00:06+00:00,0.063
1748217607,2025-05-26T00:00:07+00:00,0.059
1748304006,2025-05-27T00:00:06+00:00,0.046
1748390406,2025-05-28T00:00:06+00:00,0.056
1748476807,2025-05-29T00:00:07+00:00,0.0545
1748563207,2025-05-30T00:00:07+00:00,0.0495
1748649607,2025-05-31T00:00:07+00:00,0.052
1748736007,2025-06-01T00:00:07+00:00,0.0765
1748822406,2025-06-02T00:00:06+00:00,0.046
1748908807,2025-06-03T00:00:07+00:00,0.073
1748995206,2025-06-04T00:00:06+00:00,0.058
1749081606,2025-06-05T00:00:06+00:00,0.075
1749168006,2025-06-06T00:00:06+00:00,0.084
1749254407,2025-06-07T00:00:07+00:00,0.077
1749340807,2025-06-08T00:00:07+00:00,0.064
1749427207,2025-06-09T00:00:07+00:00,0.0545
1749513606,2025-06-10T00:00:06+00:00,0.033
1749600007,2025-06-11T00:00:07+00:00,0.0525
