timestamp_unix,datetime_utc,increase_min_2_9_january_2025_no
1736985604,2025-01-16T00:00:04+00:00,0.46
1737072004,2025-01-17T00:00:04+00:00,0.42
1737158404,2025-01-18T00:00:04+00:00,0.39
1737244804,2025-01-19T00:00:04+00:00,0.44
1737331204,2025-01-20T00:00:04+00:00,0.405
1737417603,2025-01-21T00:00:03+00:00,0.43
1737504003,2025-01-22T00:00:03+00:00,0.35
1737590404,2025-01-23T00:00:04+00:00,0.26
1737676803,2025-01-24T00:00:03+00:00,0.27
1737763205,2025-01-25T00:00:05+00:00,0.255
1737849604,2025-01-26T00:00:04+00:00,0.255
1737936004,2025-01-27T00:00:04+00:00,0.255
1738022404,2025-01-28T00:00:04+00:00,0.225
1738108804,2025-01-29T00:00:04+00:00,0.235
1738195205,2025-01-30T00:00:05+00:00,0.205
1738281604,2025-01-31T00:00:04+00:00,0.255
1738368005,2025-02-01T00:00:05+00:00,0.215
1738454404,2025-02-02T00:00:04+00:00,0.22
1738540805,2025-02-03T00:00:05+00:00,0.295
1738627204,2025-02-04T00:00:04+00:00,0.27
1738713604,2025-02-05T00:00:04+00:00,0.25
1738800005,2025-02-06T00:00:05+00:00,0.23
1738886404,2025-02-07T00:00:04+00:00,0.21
1738972804,2025-02-08T00:00:04+00:00,0.2
1739059206,2025-02-09T00:00:06+00:00,0.275
1739145605,2025-02-10T00:00:05+00:00,0.245
1739232004,2025-02-11T00:00:04+00:00,0.2
1739318404,2025-02-12T00:00:04+00:00,0.145
